,symbol,company,sector,industry,city,state
505,MMM,3M Company,Industrials,Industrial Conglomerates,St. Paul, Minnesota
506,ABT,Abbott Laboratories,Health Care,Health Care Equipment,North Chicago, Illinois
507,ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,North Chicago, Illinois
508,ABMD,ABIOMED Inc,Health Care,Health Care Equipment,Danvers, Massachusetts
509,ACN,Accenture plc,Information Technology,IT Consulting & Other Services,Dublin, Ireland
510,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,Santa Monica, California
511,ADBE,Adobe Systems Inc,Information Technology,Application Software,San Jose, California
512,AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,Sunnyvale, California
513,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,Roanoke, Virginia
514,AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,Arlington, Virginia
515,AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,Beverly, Massachusetts
516,AFL,AFLAC Inc,Financials,Life & Health Insurance,Columbus, Georgia
517,A,Agilent Technologies Inc,Health Care,Health Care Equipment,Santa Clara, California
518,APD,Air Products & Chemicals Inc,Materials,Industrial Gases,Allentown, Pennsylvania
519,AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,Cambridge, Massachusetts
520,ALK,Alaska Air Group Inc,Industrials,Airlines,Seattle, Washington
521,ALB,Albemarle Corp,Materials,Specialty Chemicals,Baton Rouge, Louisiana
522,ARE,Alexandria Real Estate Equities Inc,Real Estate,Office REITs,Pasadena, California
523,ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,Cheshire, Connecticut
524,ALGN,Align Technology,Health Care,Health Care Supplies,San Jose, California
525,ALLE,Allegion,Industrials,Building Products,Dublin, Ireland
526,AGN,"Allergan, Plc",Health Care,Pharmaceuticals,Dublin, Ireland
527,ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,Plano, Texas
528,LNT,Alliant Energy Corp,Utilities,Electric Utilities,Madison, Wisconsin
529,ALL,Allstate Corp,Financials,Property & Casualty Insurance,Northfield Township, Illinois
530,GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services,Mountain View, California
531,GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services,Mountain View, California
532,MO,Altria Group Inc,Consumer Staples,Tobacco,Richmond, Virginia
533,AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,Seattle, Washington
534,AEE,Ameren Corp,Utilities,Multi-Utilities,St. Louis, Missouri
535,AAL,American Airlines Group,Industrials,Airlines,Fort Worth, Texas
536,AEP,American Electric Power,Utilities,Electric Utilities,Columbus, Ohio
537,AXP,American Express Co,Financials,Consumer Finance,New York, New York
538,AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,New York, New York
539,AMT,American Tower Corp.,Real Estate,Specialized REITs,Boston, Massachusetts
540,AWK,American Water Works Company Inc,Utilities,Water Utilities,Voorhees, New Jersey
541,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Minneapolis, Minnesota
542,ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,Chesterbrook, Pennsylvania
543,AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,Berwyn, Pennsylvania
544,AMGN,Amgen Inc.,Health Care,Biotechnology,Thousand Oaks, California
545,APH,Amphenol Corp,Information Technology,Electronic Components,Wallingford, Connecticut
546,APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,The Woodlands, Texas
547,ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,Norwood, Massachusetts
548,ANSS,ANSYS,Information Technology,Application Software,Canonsburg, Pennsylvania
549,ANTM,Anthem Inc.,Health Care,Managed Health Care,Indianapolis, Indiana
550,AON,Aon plc,Financials,Insurance Brokers,London, United Kingdom
551,AOS,A.O. Smith Corp,Industrials,Building Products,Milwaukee, Wisconsin
552,APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,Houston, Texas
553,AIV,Apartment Investment & Management (Aimco),Real Estate,Residential REITs,Denver, Colorado
554,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Cupertino, California
555,AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,Santa Clara, California
556,APTV,Aptiv Plc,Consumer Discretionary,Auto Parts & Equipment,Gillingham," Kent, United Kingdom"
557,ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,Decatur, Illinois
558,ARNC,Arconic Inc.,Industrials,Aerospace & Defense,New York, New York
559,ANET,Arista Networks,Information Technology,Communications Equipment,Santa Clara, California
560,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Itasca, Illinois
561,AIZ,Assurant Inc.,Financials,Multi-line Insurance,New York, New York
562,T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,Dallas, Texas
563,ADSK,Autodesk Inc.,Information Technology,Application Software,San Rafael, California
564,ADP,Automatic Data Processing,Information Technology,Internet Software & Services,Roseland, New Jersey
565,AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,Memphis, Tennessee
566,AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,Arlington, Virginia[5]
567,AVY,Avery Dennison Corp,Materials,Paper Packaging,Glendale, California
568,BHGE,"Baker Hughes, a GE Company",Energy,Oil & Gas Equipment & Services,Houston, Texas
569,BLL,Ball Corp,Materials,Metal & Glass Containers,Broomfield, Colorado
570,BAC,Bank of America Corp,Financials,Diversified Banks,Charlotte, North Carolina
571,BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,New York, New York
572,BAX,Baxter International Inc.,Health Care,Health Care Equipment,Deerfield, Illinois
573,BBT,BB&T Corporation,Financials,Regional Banks,Winston-Salem, North Carolina
574,BDX,Becton Dickinson,Health Care,Health Care Equipment,Franklin Lakes, New Jersey
575,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,Omaha, Nebraska
576,BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,Richfield, Minnesota
577,BIIB,Biogen Inc.,Health Care,Biotechnology,Weston, Massachusetts
578,BLK,BlackRock,Financials,Asset Management & Custody Banks,New York, New York
579,HRB,Block H&R,Consumer Discretionary,Specialized Consumer Services,Kansas City, Missouri
580,BA,Boeing Company,Industrials,Aerospace & Defense,Chicago, Illinois
581,BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,Norwalk, Connecticut
582,BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,Auburn Hills, Michigan
583,BXP,Boston Properties,Real Estate,Office REITs,Boston, Massachusetts
584,BSX,Boston Scientific,Health Care,Health Care Equipment,Marlborough, Massachusetts[6]
585,BHF,Brighthouse Financial Inc,Financials,Life & Health Insurance,Charlotte, North Carolina
586,BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,New York, New York
587,AVGO,Broadcom,Information Technology,Semiconductors,San Jose, California
588,BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,Lake Success, New York
589,BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,Louisville, Kentucky
590,CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,Eden Prairie, Minnesota
591,COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,Houston, Texas
592,CDNS,Cadence Design Systems,Information Technology,Application Software,San Jose, California
593,CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,Camden, New Jersey
594,COF,Capital One Financial,Financials,Consumer Finance,Tysons Corner, Virginia
595,CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,Dublin, Ohio
596,KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,Richmond, Virginia
597,CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Miami, Florida
598,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,Peoria, Illinois
599,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,Chicago, Illinois
600,CBRE,CBRE Group,Real Estate,Real Estate Services,Los Angeles, California
601,CBS,CBS Corp.,Communication Services,Broadcasting,New York, New York
602,CELG,Celgene Corp.,Health Care,Biotechnology,Summit, New Jersey
603,CNC,Centene Corporation,Health Care,Managed Health Care,St Louis, Missouri
604,CNP,CenterPoint Energy,Utilities,Multi-Utilities,Houston, Texas
605,CTL,CenturyLink Inc,Communication Services,Integrated Telecommunication Services,Monroe, Louisiana
606,CERN,Cerner,Health Care,Health Care Technology,North Kansas City, Missouri
607,CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,Deerfield, Illinois
608,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,San Francisco, California
609,CHTR,Charter Communications,Communication Services,Cable & Satellite,Stamford, Connecticut
610,CVX,Chevron Corp.,Energy,Integrated Oil & Gas,San Ramon, California
611,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,Denver, Colorado
612,CB,Chubb Limited,Financials,Property & Casualty Insurance,Zurich, Switzerland
613,CHD,Church & Dwight,Consumer Staples,Household Products,Ewing, New Jersey
614,CI,CIGNA Corp.,Health Care,Managed Health Care,Bloomfield, Connecticut
615,XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,Denver, Colorado
616,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,Fairfield, Ohio
617,CTAS,Cintas Corporation,Industrials,Diversified Support Services,Mason, Ohio
618,CSCO,Cisco Systems,Information Technology,Communications Equipment,San Jose, California
619,C,Citigroup Inc.,Financials,Diversified Banks,New York, New York
620,CFG,Citizens Financial Group,Financials,Regional Banks,Providence, Rhode Island
621,CTXS,Citrix Systems,Information Technology,Internet Software & Services,Fort Lauderdale, Florida
622,CLX,The Clorox Company,Consumer Staples,Household Products,Oakland, California
623,CME,CME Group Inc.,Financials,Financial Exchanges & Data,Chicago, Illinois
624,CMS,CMS Energy,Utilities,Multi-Utilities,Jackson, Michigan
625,KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks,Atlanta, Georgia
626,CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,Teaneck, New Jersey
627,CL,Colgate-Palmolive,Consumer Staples,Household Products,New York, New York
628,CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,Philadelphia, Pennsylvania
629,CMA,Comerica Inc.,Financials,Diversified Banks,Dallas, Texas
630,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,Chicago, Illinois
631,CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,Midland, Texas
632,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,Houston, Texas
633,ED,Consolidated Edison,Utilities,Electric Utilities,New York, New York
634,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,Victor, New York
635,COO,The Cooper Companies,Health Care,Health Care Supplies,Pleasanton, California
636,CPRT,Copart Inc,Industrials,Diversified Support Services,Dallas, Texas
637,GLW,Corning Inc.,Information Technology,Electronic Components,Corning, New York
638,COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,Issaquah, Washington
639,COTY,"Coty, Inc",Consumer Staples,Personal Products,New York, New York
640,CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,Houston, Texas
641,CSX,CSX Corp.,Industrials,Railroads,Jacksonville, Florida
642,CMI,Cummins Inc.,Industrials,Industrial Machinery,Columbus, Indiana
643,CVS,CVS Health,Health Care,Health Care Services,Woonsocket, Rhode Island
644,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,Fort Worth, Texas
645,DHR,Danaher Corp.,Health Care,Health Care Equipment,Washington, D.C.
646,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,Orlando, Florida
647,DVA,DaVita Inc.,Health Care,Health Care Facilities,Denver, Colorado
648,DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,Moline, Illinois
649,DAL,Delta Air Lines Inc.,Industrials,Airlines,Atlanta, Georgia
650,XRAY,Dentsply Sirona,Health Care,Health Care Supplies,York, Pennsylvania
651,DVN,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production,Oklahoma City, Oklahoma
652,FANG,Diamondback Energy Inc,Energy,Oil & Gas Exploration & Production,Midland, Texas
653,DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,San Francisco, California
654,DFS,Discover Financial Services,Financials,Consumer Finance,Riverwoods, Illinois
655,DISCA,Discovery Inc. Class A,Communication Services,Broadcasting,Silver Spring, Maryland
656,DISCK,Discovery Inc. Class C,Communication Services,Broadcasting,Silver Spring, Maryland
657,DISH,Dish Network,Communication Services,Cable & Satellite,Meridian, Colorado
658,DG,Dollar General,Consumer Discretionary,General Merchandise Stores,Goodlettsville, Tennessee
659,DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,Chesapeake, Virginia
660,D,Dominion Energy,Utilities,Electric Utilities,Richmond, Virginia
661,DOV,Dover Corp.,Industrials,Industrial Machinery,Downers Grove, Illinois
662,DWDP,DowDuPont,Materials,Diversified Chemicals,Midland, Michigan
663,DTE,DTE Energy Co.,Utilities,Multi-Utilities,Detroit, Michigan
664,DRE,Duke Realty Corp,Real Estate,Industrial REITs,Indianapolis, Indiana
665,DUK,Duke Energy,Utilities,Electric Utilities,Charlotte, North Carolina
666,DXC,DXC Technology,Information Technology,IT Consulting & Other Services,Tysons Corner, Virginia
667,ETFC,E*Trade,Financials,Investment Banking & Brokerage,New York, New York
668,EMN,Eastman Chemical,Materials,Diversified Chemicals,Kingsport, Tennessee
669,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,Dublin, Ireland
670,EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,San Jose, California
671,ECL,Ecolab Inc.,Materials,Specialty Chemicals,St. Paul, Minnesota
672,EIX,Edison Int'l,Utilities,Electric Utilities,Rosemead, California
673,EW,Edwards Lifesciences,Health Care,Health Care Equipment,Irvine, California
674,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,Redwood City, California
675,EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,Ferguson, Missouri
676,ETR,Entergy Corp.,Utilities,Electric Utilities,New Orleans, Louisiana
677,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,Houston, Texas
678,EFX,Equifax Inc.,Industrials,Research & Consulting Services,Atlanta, Georgia
679,EQIX,Equinix,Real Estate,Specialized REITs,Redwood City, California
680,EQR,Equity Residential,Real Estate,Residential REITs,Chicago, Illinois
681,ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,Palo Alto, California
682,EL,Estee Lauder Cos.,Consumer Staples,Personal Products,New York, New York
683,EVRG,Evergy,Utilities,Electric Utilities,Kansas City, Missouri
684,ES,Eversource Energy,Utilities,Multi-Utilities,Springfield, Massachusetts
685,RE,Everest Re Group Ltd.,Financials,Reinsurance,Hamilton, Bermuda
686,EXC,Exelon Corp.,Utilities,Multi-Utilities,Chicago, Illinois
687,EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,Bellevue, Washington
688,EXPD,Expeditors,Industrials,Air Freight & Logistics,Seattle, Washington
689,ESRX,Express Scripts,Health Care,Health Care Distributors,Cool Valley, Missouri
690,EXR,Extra Space Storage,Real Estate,Specialized REITs,Salt Lake City, Utah
691,XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,Irving, Texas
692,FFIV,F5 Networks,Information Technology,Communications Equipment,Seattle, Washington
693,FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,Menlo Park, California
694,FAST,Fastenal Co,Industrials,Building Products,Winona, Minnesota
695,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,Rockville, Maryland
696,FDX,FedEx Corporation,Industrials,Air Freight & Logistics,Memphis, Tennessee
697,FIS,Fidelity National Information Services,Information Technology,Internet Software & Services,Jacksonville, Florida
698,FITB,Fifth Third Bancorp,Financials,Regional Banks,Cincinnati, Ohio
699,FE,FirstEnergy Corp,Utilities,Electric Utilities,Akron, Ohio
700,FISV,Fiserv Inc,Information Technology,Internet Software & Services,Brookfield, Wisconsin
701,FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsources Services,Norcross, Georgia
702,FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,Wilsonville, Oregon
703,FLS,Flowserve Corporation,Industrials,Industrial Machinery,Irving, Texas
704,FLR,Fluor Corp.,Industrials,Construction & Engineering,Irving, Texas
705,FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,Philadelphia, Pennsylvania
706,FL,Foot Locker Inc,Consumer Discretionary,Apparel Retail,New York, New York
707,F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,Dearborn, Michigan
708,FTNT,Fortinet,Information Technology,Systems Software,Sunnyvale, California
709,FTV,Fortive Corp,Industrials,Industrial Machinery,Everett, Washington
710,FBHS,Fortune Brands Home & Security,Industrials,Building Products,Deerfield, Illinois
711,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,San Mateo, California
712,FCX,Freeport-McMoRan Inc.,Materials,Copper,Phoenix, Arizona
713,GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,San Francisco, California
714,GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,Schaffhausen, Switzerland
715,IT,Gartner Inc,Information Technology,IT Consulting & Other Services,Stamford, Connecticut
716,GD,General Dynamics,Industrials,Aerospace & Defense,Falls Church, Virginia
717,GE,General Electric,Industrials,Industrial Conglomerates,Boston, Massachusetts
718,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,Golden Valley, Minnesota
719,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,Detroit, Michigan
720,GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,Atlanta, Georgia
721,GILD,Gilead Sciences,Health Care,Biotechnology,Foster City, California
722,GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,Atlanta, Georgia
723,GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,New York, New York
724,GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,Akron, Ohio
725,GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,Lake Forest, Illinois
726,HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,Houston, Texas
727,HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Winston-Salem, North Carolina
728,HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,Milwaukee, Wisconsin
729,HRS,Harris Corporation,Industrials,Aerospace & Defense,Melbourne, Florida
730,HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,Hartford, Connecticut
731,HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,Pawtucket, Rhode Island
732,HCA,HCA Holdings,Health Care,Health Care Facilities,Nashville, Tennessee
733,HCP,HCP Inc.,Real Estate,Health Care REITs,Long Beach, California
734,HP,Helmerich & Payne,Energy,Oil & Gas Drilling,Tulsa, Oklahoma[7]
735,HSIC,Henry Schein,Health Care,Health Care Distributors,Melville, New York
736,HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,Hershey, Pennsylvania
737,HES,Hess Corporation,Energy,Integrated Oil & Gas,New York, New York
738,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",Palo Alto, California
739,HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Tysons Corner, Virginia
740,HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,Dallas, Texas
741,HOLX,Hologic,Health Care,Health Care Equipment,Marlborough, Massachusetts
742,HD,Home Depot,Consumer Discretionary,Home Improvement Retail,Atlanta, Georgia
743,HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,Morristown, New Jersey
744,HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,Austin, Minnesota
745,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,Bethesda, Maryland
746,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Palo Alto, California
747,HUM,Humana Inc.,Health Care,Managed Health Care,Louisville, Kentucky
748,HBAN,Huntington Bancshares,Financials,Regional Banks,Columbus, Ohio
749,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,Newport News, Virginia
750,IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,Westbrook, Maine
751,INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,London, United Kingdom
752,ITW,Illinois Tool Works,Industrials,Industrial Machinery,Glenview, Illinois
753,ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,San Diego, California
754,IR,Ingersoll-Rand PLC,Industrials,Industrial Machinery,Dublin, Ireland
755,INTC,Intel Corp.,Information Technology,Semiconductors,Santa Clara, California
